Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A01003B_001,SE_A01003B_002,SE_A01003B_003,SE_A01003B_004,SE_A01003B_005,SE_A01003B_006,SE_A01003B_007,SE_A01003B_008,SE_A01003B_009,SE_A01003B_010,SE_A12005B_001,SE_A12005B_002,SE_A12005B_003,SE_A12005B_004,SE_A12005B_005,SE_A14003B_001,SE_A14003B_002,SE_A14003B_003,SE_A14003B_004,SE_A14003B_005,SE_A14003B_006,SE_A14003B_007,SE_A14003B_008,SE_A14003B_009,SE_A14003B_010,SE_A14003B_011,SE_A14003B_012,SE_A14016_001,SE_A14028_001,SE_A10036_001,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,SE_A10039B_001,SE_A10039B_002,SE_A10039B_003,SE_A10039B_004,SE_A10039B_005,SE_A10039B_006,SE_A10039B_007,SE_A10039B_008,SE_A10039B_009,SE_A10039B_010,SE_A10039B_011,SE_A10039B_012,SE_A10039B_013,SE_A10039B_014,SE_A10039B_015,SE_A10039B_016,SE_A10039B_017,SE_A10039B_018,SE_A10039B_019,SE_A10039B_020,SE_A10039B_021,SE_A10039B_022,SE_A10039B_023
"78778738","86000US78738","ZCTA5 78738","ZCTA5 78738","us","860","00","ACSSF","0038002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78738",,,,,,,,,,,,,15986,13894,150,22,1337,0,75,508,1739,85,444,431,273,226,59,92,119,10,1739,30,238,518,953,1739,15,33,50,68,93,155,261,337,154,293,280,68780,0.4535,562800,1739,0,16,0,0,716,548,116,101,189,53,1739,129,0,0,129,232,0,0,232,261,0,0,261,337,0,274,63,727,509,155,63,0,53
"78778739","86000US78739","ZCTA5 78739","ZCTA5 78739","us","860","00","ACSSF","0038003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78739",,,,,,,,,,,,,21040,17511,544,19,2061,0,265,640,329,0,15,212,65,33,4,0,0,0,329,0,21,44,264,329,12,0,35,0,0,21,0,22,53,82,104,112344,0.3597,467000,329,0,0,12,0,0,22,149,107,31,8,329,47,0,0,47,21,0,0,21,0,0,0,0,22,0,0,22,231,100,64,67,0,8
"78778741","86000US78741","ZCTA5 78741","ZCTA5 78741","us","860","00","ACSSF","0038004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78741",,,,,,,,,,,,,52114,35677,6084,600,2347,34,5674,1698,18276,3362,7322,3240,1969,962,664,590,160,7,18276,2794,3204,5801,6477,18276,1046,698,833,1099,1267,2010,3460,3777,1737,1617,732,43070,0.4537,208300,18276,254,400,2033,3184,8392,2711,862,128,75,237,18276,3150,37,93,3020,3234,66,203,2965,3448,273,999,2176,3770,708,2111,951,4066,2833,1117,116,371,237
"78778742","86000US78742","ZCTA5 78742","ZCTA5 78742","us","860","00","ACSSF","0038005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78742",,,,,,,,,,,,,887,511,134,0,0,0,192,50,103,8,62,0,15,3,9,0,6,0,103,40,18,45,0,103,6,15,8,0,14,8,17,22,0,13,0,42574,0.3379,,103,0,19,0,15,52,13,4,0,0,0,103,29,0,0,29,22,8,0,14,17,0,0,17,22,0,22,0,13,9,4,0,0,0
"78778744","86000US78744","ZCTA5 78744","ZCTA5 78744","us","860","00","ACSSF","0038006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78744",,,,,,,,,,,,,50123,31827,4384,366,708,2,11264,1572,8766,712,3522,1938,1663,449,204,240,32,6,8766,2131,2129,2773,1733,8766,341,309,557,517,442,1274,1577,1911,999,586,253,42462,0.3941,164300,8766,116,130,362,1488,4887,1356,296,8,0,123,8766,1598,20,0,1578,1716,0,64,1652,1572,41,540,991,1891,275,1111,505,1773,1285,468,20,93,123
"78778745","86000US78745","ZCTA5 78745","ZCTA5 78745","us","860","00","ACSSF","0038007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78745",,,,,,,,,,,,,61907,53380,2775,364,1769,0,1745,1874,14377,1077,5572,2825,1898,769,883,915,333,105,14377,1388,2471,4538,5980,14377,356,450,490,519,613,1848,2407,3014,2037,1985,658,53569,0.4052,279500,14377,162,237,491,1815,6621,3637,1024,38,77,275,14377,1605,19,97,1489,2359,35,89,2235,2407,31,562,1814,2979,301,1634,1044,4622,3068,1404,150,130,275
"78778746","86000US78746","ZCTA5 78746","ZCTA5 78746","us","860","00","ACSSF","0038008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78746",,,,,,,,,,,,,28608,25430,284,6,2125,0,305,458,3332,153,1249,541,611,256,120,175,71,156,3332,33,110,558,2631,3332,155,23,27,36,157,198,307,702,553,543,631,78375,0.4961,903900,3332,0,0,26,65,1236,1111,392,184,255,63,3332,145,0,0,145,355,0,0,355,307,26,19,262,684,0,360,324,1693,1039,524,130,85,63
"78778747","86000US78747","ZCTA5 78747","ZCTA5 78747","us","860","00","ACSSF","0038009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78747",,,,,,,,,,,,,21021,15572,1046,154,737,14,2955,543,1659,136,633,303,361,46,99,46,35,0,1659,182,333,445,699,1659,0,0,0,24,7,118,408,134,242,632,94,92083,0.3309,235600,1659,0,0,61,41,803,499,202,45,0,8,1659,24,0,0,24,125,0,0,125,400,43,11,346,134,11,45,78,968,541,401,26,0,8
"78778748","86000US78748","ZCTA5 78748","ZCTA5 78748","us","860","00","ACSSF","0038010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78748",,,,,,,,,,,,,51653,43319,2941,207,2281,10,833,2062,7945,505,3335,1479,1399,458,118,466,168,17,7945,462,1503,2708,3272,7945,310,304,124,365,433,958,1341,1756,1073,882,399,51039,0.3892,272100,7945,63,33,289,413,3751,2448,770,92,0,86,7945,877,0,17,860,1391,46,82,1263,1341,0,156,1185,1696,134,886,676,2340,1213,1030,97,214,86
"78778749","86000US78749","ZCTA5 78749","ZCTA5 78749","us","860","00","ACSSF","0038011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78749",,,,,,,,,,,,,38041,30257,1594,35,4194,0,435,1526,5591,410,2095,1345,847,346,180,229,92,47,5591,56,704,1369,3462,5591,95,106,80,87,84,290,539,1361,1137,985,827,78213,0.3644,344700,5591,28,10,108,125,2998,1434,628,191,0,69,5591,339,0,0,339,374,0,0,374,523,0,94,429,1350,258,654,438,2916,1994,667,255,20,69
