,Dem: Median Age,Dem: % <18,Dem: Pop,Div: % NH White,Div: % NH Black,Div: % NH Asian,Div: Max % One Race,Comp: % Married,Hsg: % Paying >20% Income on Housing,Hsg: % Paying >30% Income on Housing,Hsg: Median House Costs,Inc: Gini Index,Mob: % From Out of State (1y),Occ: % in Labor Force,Occ: % in mgmt/bus/science/arts,Occ: % in serv/construct/prod,Trns: % w/ 3+ Vehicles,Trns: % Public Trans to Work,Y: % built pre-1970,Y: % built pre-1940,res_permit_per_cap,runaway_child_crime_per_cap
276,21.0,0.026817838246409674,33075.0,0.578140589569161,0.06784580498866213,0.14766439909297052,0.578140589569161,0.06582762662718243,0.7786096256684492,0.6572192513368984,1210.0,0.6857,0.07400891746792441,0.43771615612648224,1.7947002606429192,3.213553431798436,0.23025560772039647,0.05394959336500523,0.32265866873065013,0.12693498452012383,0.009493575207860922,0.00012093726379440664
277,40.0,0.17767103974000525,41847.0,0.6895117929600688,0.03572538055296676,0.106698210146486,0.6895117929600688,0.48349016735222855,0.6996232656436644,0.3740696499127079,1319.0,0.438,0.05395744269738908,0.7305597536285608,1.2807401625768624,1.8306268918121418,0.1552050732992917,0.023627233061661316,0.06069364161849711,0.0028442976419855034,0.03352689559586111,0.0005257246636556981
278,34.2,0.2069663450223582,21245.0,0.4117204048011297,0.17881854554012708,0.08321958107790069,0.4117204048011297,0.38112449799196785,0.7189542483660131,0.40203031567236824,1126.0,0.4015,0.04350350834744737,0.782249682411364,1.3729592453742896,2.349619059136534,0.15349194167306215,0.011586863106200123,0.027573875399962356,0.0018821757952192735,0.012897152271122618,0.0
279,42.9,0.21746554457860715,8199.0,0.7757043541895353,0.00451274545676302,0.041224539577997314,0.7757043541895353,0.6266486810551559,0.7186932849364791,0.32849364791288566,1483.0,0.4087,0.02798576163004787,0.7093520782396088,1.2004652966265994,1.566886390073672,0.38362260792167335,0.00711585501445408,0.07985480943738657,0.02238354506957048,0.05537260641541651,0.00024393218685205513
280,39.1,0.2371415566681839,30758.0,0.6173678392613304,0.037811301124910594,0.1635021782950777,0.6173678392613304,0.5433434650455927,0.7230448866265617,0.43799167052290605,1455.0,0.4683,0.04131742431712849,0.7129131119025925,1.4221344949632453,1.8273307144801836,0.24543905056498957,0.010162216751877801,0.03543938422065426,0.007617062219371392,0.028610442811626245,0.0005201898693022953
281,30.9,0.2629615115942276,58693.0,0.19963198337110047,0.11025164840781694,0.05954713509277086,0.6133440103589866,0.3971892512024004,0.7730922129550237,0.5185127445630993,1034.0,0.437,0.03588417786970011,0.7517979144192737,1.8642681929681113,2.61737158997993,0.2793961438181994,0.036878519710378116,0.1385822332879222,0.0022548973551933106,0.026050806740156408,0.0027942003305334536
282,33.3,0.18062598356356005,22876.0,0.36422451477531037,0.12480328728798741,0.018840706417205807,0.47040566532610595,0.2604740617527809,0.6779554059739167,0.4017669331089609,1114.0,0.4891,0.033837579617834394,0.7162218733647305,1.476317582916856,2.2870286233530215,0.21066030230708035,0.06107472579499724,0.5154995426364468,0.17013924179286513,0.1079734219269103,0.002797691904179052
283,35.4,0.1758277081324333,62220.0,0.5040340726454516,0.04603021536483446,0.025827708132433302,0.5040340726454516,0.36214398358381944,0.7312939824788166,0.462947005601034,1212.0,0.3981,0.025681999771715557,0.7542778129861151,1.3456106189836272,2.339604530620081,0.21892979660192863,0.04503726104330921,0.17016845105418935,0.003252091935542807,0.03807457409193186,0.0016554162648666024
284,43.5,0.26606875934230195,2007.0,0.11858495266567015,0.03288490284005979,0.0,0.8276033881415047,0.4344521849271691,0.6328125,0.4375,903.0,0.3616,0.0010005002501250625,0.6157793457344451,1.821319587628866,3.2046597938144328,0.5458879618593564,0.0,0.20959147424511546,0.007104795737122558,0.001993024414549078,0.0014947683109118087
285,33.7,0.23560446186312933,33170.0,0.36334036780223095,0.1826650587880615,0.021254145312028943,0.4125113053964426,0.3785310734463277,0.7842590008372872,0.5588891989952554,1062.0,0.4951,0.03808560835861139,0.7256022235948116,1.7058689421573736,2.2471339239187076,0.20665178315873833,0.0567408339529829,0.41046671989547795,0.015750889163097918,0.08314742236961109,0.005697919807054567
