,1Y: Inc: Median Income Past 12m,1Y: Ed: % w/ BA,1Y: Hsg: Median Gross Rent,1Y: Hsg: Median House Val,5Y: Inc: Median Income Past 12m,5Y: Ed: % w/ BA,5Y: Hsg: Median Gross Rent,5Y: Hsg: Median House Val,1Y CHG: Inc: Median Income Past 12m,5Y CHG: Inc: Median Income Past 12m,1Y CHG > Median Inc: Median Income Past 12m,5Y CHG > Median Inc: Median Income Past 12m,1Y CHG > 75th Inc: Median Income Past 12m,5Y CHG > 75th Inc: Median Income Past 12m,1Y CHG: Ed: % w/ BA,5Y CHG: Ed: % w/ BA,1Y CHG > Median Ed: % w/ BA,5Y CHG > Median Ed: % w/ BA,1Y CHG > 75th Ed: % w/ BA,5Y CHG > 75th Ed: % w/ BA,1Y CHG: Hsg: Median Gross Rent,5Y CHG: Hsg: Median Gross Rent,1Y CHG > Median Hsg: Median Gross Rent,5Y CHG > Median Hsg: Median Gross Rent,1Y CHG > 75th Hsg: Median Gross Rent,5Y CHG > 75th Hsg: Median Gross Rent,1Y CHG: Hsg: Median House Val,5Y CHG: Hsg: Median House Val,1Y CHG > Median Hsg: Median House Val,5Y CHG > Median Hsg: Median House Val,1Y CHG > 75th Hsg: Median House Val,5Y CHG > 75th Hsg: Median House Val,Gentrified 1Y Median,Gentrified 1Y 75th,Gentrified 5Y Median,Gentrified 5Y 75th
79,47405,0.3566788861020001,1023,247200,52786,0.37741123846798996,1250,319800,1083.0,6464.0,True,True,False,False,-0.010791384870772636,0.009940967495217223,False,False,False,False,5.0,232.0,False,True,False,False,4000.0,76600.0,False,True,False,False,False,False,False,False
80,52182,0.38071679859278806,1232,338700,55295,0.3850729621712055,1979,394600,3633.0,6746.0,True,True,True,False,-0.003278595765300596,0.0010775678131168531,False,False,False,False,47.0,794.0,True,True,False,True,14200.0,70100.0,True,False,False,False,False,False,False,False
81,30038,0.23028761494815106,1104,167800,34772,0.22171022813113764,1387,203800,855.0,5589.0,False,False,False,False,0.02788345640364165,0.019306069586628227,True,False,True,False,43.0,326.0,True,True,False,True,4800.0,40800.0,False,False,False,False,False,False,False,False
82,44539,0.3981281198003328,1178,237800,50601,0.41977707706973677,1335,296900,781.0,6843.0,False,True,False,False,0.012345202407364808,0.033994159676768776,True,True,False,False,28.0,185.0,False,False,False,False,3900.0,63000.0,False,False,False,False,False,False,False,False
83,34199,0.3113815318539728,912,259400,39852,0.3533984895601955,1120,348600,2544.0,8197.0,True,True,True,False,0.004093913034100782,0.04611087074032344,False,True,False,False,17.0,225.0,False,False,False,False,6100.0,95300.0,False,True,False,False,False,False,True,False
84,45792,0.4064355901090595,1098,442300,50536,0.39860382216060997,1231,572700,872.0,5616.0,False,False,False,False,0.017011435952662468,0.009179668004212937,True,False,True,False,82.0,215.0,True,False,True,False,5500.0,135900.0,False,True,False,True,False,False,False,False
85,41131,0.3448060075093867,1300,326900,47080,0.3703543958018834,1715,377400,-622.0,5327.0,False,False,False,False,0.00506752879785749,0.03061591709035416,True,True,False,False,-11.0,404.0,False,True,False,True,5200.0,55700.0,False,False,False,False,False,False,False,False
86,16478,0.14866371851567006,851,127500,22480,0.20841882533983072,1002,156800,-357.0,5645.0,False,False,False,False,0.0020414463718959885,0.06179655319605665,False,True,False,True,16.0,167.0,False,False,False,False,7300.0,36600.0,False,False,False,False,False,False,False,False
87,60066,0.4232276265607858,1225,634000,63448,0.43571750789434116,1456,812900,-601.0,2781.0,False,False,False,False,-0.00030741544708406954,0.012182465886471316,False,False,False,False,4.0,235.0,False,True,False,False,14100.0,193000.0,True,True,False,True,False,False,False,False
88,32031,0.24422442244224424,997,163000,35726,0.24102531403430466,1183,183200,765.0,4460.0,False,False,False,False,-0.028820034507671344,-0.03201914291561092,False,False,False,False,28.0,214.0,False,False,False,False,-4600.0,15600.0,False,False,False,False,False,False,False,False
89,64888,0.44328985186822906,1702,389900,62277,0.47207471159128367,1466,495800,405.0,-2206.0,False,False,False,False,-0.015342606646540857,0.013442253076513755,False,False,False,False,14.0,-222.0,False,False,False,False,1300.0,107200.0,False,True,False,False,False,False,False,False
90,23705,0.08924763935424916,1043,96000,26917,0.08354321518520794,1229,137400,230.0,3442.0,False,False,False,False,-0.01563302791802766,-0.021337452087068887,False,False,False,False,-62.0,124.0,False,False,False,False,-3700.0,37700.0,False,False,False,False,False,False,False,False
91,35682,0.4280287884846062,1055,288600,40227,0.43278805120910385,1359,382700,1244.0,5789.0,True,True,False,False,0.021451193417802494,0.026210456142300165,True,True,True,False,81.0,385.0,True,True,True,True,9400.0,103500.0,False,True,False,False,True,False,True,False
92,36000,0.25332896300241736,1116,168100,39527,0.261515197852422,1355,214600,-406.0,3121.0,False,False,False,False,0.0010927885808124649,0.009279023430817102,False,False,False,False,-37.0,202.0,False,False,False,False,2400.0,48900.0,False,False,False,False,False,False,False,False
93,49242,0.44994064107637516,1224,692800,61361,0.4181864396009405,1452,822800,1366.0,13485.0,True,True,False,True,0.004362639589989115,-0.02739156188544556,False,False,False,False,32.0,260.0,False,True,False,False,51600.0,181600.0,True,True,True,True,False,False,False,False
94,18529,0.11421765295887663,920,140400,24906,0.2118510158013544,1100,245500,981.0,7358.0,False,True,False,False,0.006544385632143962,0.10417774847462173,True,True,False,True,21.0,201.0,False,False,False,False,15600.0,120700.0,True,True,False,True,False,False,True,False
95,41967,0.35319305113775384,1046,350500,43553,0.45775035804781317,1189,447400,2012.0,3598.0,True,False,False,False,0.023402048658122232,0.12795935556818155,True,True,True,True,-5.0,138.0,False,False,False,False,5800.0,102700.0,False,True,False,False,False,False,False,False
96,33047,0.38192892085398644,1041,361300,43314,0.4308316213548198,1344,500600,1696.0,11963.0,True,True,False,True,0.010940174067997854,0.059842874568831195,True,True,False,True,58.0,361.0,True,True,False,True,13800.0,153100.0,True,True,False,True,True,False,True,True
97,26662,0.124853228962818,1351,115800,31112,0.11038719285182427,1504,160200,2202.0,6652.0,True,True,False,False,0.010704089383468104,-0.003761946727525625,True,False,False,False,62.0,215.0,True,False,False,False,4000.0,48400.0,False,False,False,False,True,False,False,False
98,60016,0.44999119563303397,2001,364600,73243,0.426517571884984,2309,447500,-922.0,12305.0,False,True,False,True,0.004735037536190312,-0.018738586211859642,False,False,False,False,0.0,308.0,False,True,False,True,8700.0,91600.0,False,True,False,False,False,False,False,False
99,21755,0.10952380952380952,908,84500,20980,0.05631067961165048,1067,58300,1880.0,1105.0,True,False,False,False,-0.018536454129674473,-0.07174958404183351,False,False,False,False,218.0,377.0,True,True,True,True,12400.0,-13800.0,False,False,False,False,False,False,False,False
100,5741,0.34836930066526045,1094,342000,6952,0.4199636516147071,1238,444700,364.0,1575.0,False,False,False,False,-0.011384770454712978,0.06020958049473368,False,True,False,True,6.0,150.0,False,False,False,False,34800.0,137500.0,True,True,True,True,False,False,False,False
101,43227,0.37187846384560214,1032,320900,51818,0.3826118855465884,1260,414600,1120.0,9711.0,True,True,False,True,-0.005684463308923637,0.005048958392062652,False,False,False,False,48.0,276.0,True,True,False,False,8600.0,102300.0,False,True,False,False,False,False,False,False
102,33664,0.28926765052310677,962,175200,38216,0.31706998891135607,1132,228200,1018.0,5570.0,False,False,False,False,0.01658544923406363,0.044387787622312935,True,True,True,False,22.0,192.0,False,False,False,False,4700.0,57700.0,False,False,False,False,False,False,False,False
103,40421,0.32677016281711474,1348,237000,48267,0.37979828390787296,1490,330000,63.0,7909.0,False,True,False,False,-0.02285171036496786,0.03017641072579036,False,True,False,False,112.0,254.0,True,True,True,False,8100.0,101100.0,False,True,False,False,False,False,True,False
104,39554,0.33612194621227676,1097,312500,48913,0.3391261171797418,1353,388900,-2333.0,7026.0,False,True,False,False,-0.012489238662119095,-0.00948506769465407,False,False,False,False,34.0,290.0,False,True,False,False,5600.0,82000.0,False,True,False,False,False,False,False,False
105,21434,0.14326980345443716,869,136300,26297,0.15246671284537827,1058,177300,426.0,5289.0,False,False,False,False,-0.005661693078025887,0.003535216312915229,False,False,False,False,17.0,206.0,False,False,False,False,600.0,41600.0,False,False,False,False,False,False,False,False
106,30728,0.18144461692996072,1289,139400,34979,0.17246835443037975,1352,168300,-24.0,4227.0,False,False,False,False,0.005371926369637653,-0.0036043361299433196,True,False,False,False,-39.0,24.0,False,False,False,False,-1800.0,27100.0,False,False,False,False,False,False,False,False
107,35527,0.31573736321000523,1039,198600,42350,0.3400065484821554,1250,261800,-372.0,6451.0,False,True,False,False,0.0025015836963073745,0.026770768968457537,False,True,False,False,12.0,223.0,False,False,False,False,7300.0,70500.0,False,False,False,False,False,False,False,False
108,18953,0.05203252032520325,441,112200,17738,0.04468864468864469,840,131800,-3076.0,-4291.0,False,False,False,False,-0.01522411684293834,-0.022567992479496903,False,False,False,False,2.0,401.0,False,True,False,True,-300.0,19300.0,False,False,False,False,False,False,False,False
109,23299,0.21371618893823174,850,189100,30183,0.2525672473288155,1049,300600,-644.0,6240.0,False,True,False,False,0.0004785991786313559,0.03932965756921514,False,True,False,False,10.0,209.0,False,False,False,False,10600.0,122100.0,False,True,False,True,False,False,True,False
110,18794,0.07714105793450882,953,97900,23766,0.09211485206238158,1216,133400,-1329.0,3643.0,False,False,False,False,-0.0021277629959252087,0.012846031131947558,False,False,False,False,6.0,269.0,False,True,False,False,-4100.0,31400.0,False,False,False,False,False,False,False,False
111,36813,0.35000967679504547,1147,206400,47005,0.37136682397565385,1274,271200,-509.0,9683.0,False,True,False,True,-0.012559279123776357,0.008797868056832026,False,False,False,False,30.0,157.0,False,False,False,False,3800.0,68600.0,False,False,False,False,False,False,False,False
112,22177,0.11314902741614336,982,107200,26404,0.15218947009712047,1157,138500,800.0,5027.0,False,False,False,False,0.01308845806423542,0.052128900745212536,True,True,False,True,20.0,195.0,False,False,False,False,700.0,32000.0,False,False,False,False,False,False,False,False
113,35164,0.29638374951481433,1181,192800,40744,0.30942887782880085,1392,256200,776.0,6356.0,False,True,False,False,-0.007517471155674971,0.00552765715831155,False,False,False,False,43.0,254.0,True,True,False,False,4900.0,68300.0,False,False,False,False,False,False,False,False
114,43122,0.35567884111573433,932,377600,55284,0.42824273799252227,1236,493200,4225.0,16387.0,True,True,True,True,-0.005323763050932351,0.06724013382585559,False,True,False,True,38.0,342.0,False,True,False,True,13200.0,128800.0,False,True,False,True,False,False,True,True
115,20981,0.22066631271568887,839,203200,31495,0.28219523373052247,1159,361500,311.0,10825.0,False,True,False,True,0.0007993990846262289,0.06232832009945982,False,True,False,True,32.0,352.0,False,True,False,True,15200.0,173500.0,True,True,False,True,False,False,True,True
116,30756,0.2561888177710843,1058,174600,35121,0.2722603098727383,1293,255200,368.0,4733.0,False,False,False,False,0.006978380960433711,0.023049873062087695,True,True,False,False,38.0,273.0,False,True,False,False,4400.0,85000.0,False,True,False,False,False,False,False,False
117,52208,0.4221246707638279,1172,557000,65220,0.43556085918854415,1329,700300,-374.0,12638.0,False,True,False,True,-0.010505475544440201,0.0029307128802760207,False,False,False,False,34.0,191.0,False,False,False,False,-23300.0,120000.0,False,True,False,True,False,False,False,False
118,54730,0.3869196205691463,1485,489900,63951,0.389126559714795,1842,579500,1035.0,10256.0,False,True,False,True,0.03696947101780035,0.03917641016344903,True,True,True,False,26.0,383.0,False,True,False,True,2000.0,91600.0,False,True,False,False,False,False,True,False
119,27942,0.38545571382671096,905,295700,37279,0.4274374460742019,1299,450000,1957.0,11294.0,True,True,False,True,0.007883585356378897,0.04986531760386986,True,True,False,True,29.0,423.0,False,True,False,True,-1500.0,152800.0,False,True,False,True,False,False,True,True
120,65046,0.3821335322640806,1691,430800,81354,0.4664908284378372,1950,435400,5060.0,21368.0,True,True,True,True,0.00111482951835834,0.08547212569211493,False,True,False,True,38.0,297.0,False,True,False,True,58800.0,63400.0,True,False,True,False,False,False,True,True
121,47787,0.384565812792009,1191,387600,54065,0.3905579399141631,1453,482400,2613.0,8891.0,True,True,True,True,-0.02851393362107074,-0.022521806498916663,False,False,False,False,44.0,306.0,True,True,False,True,14200.0,109000.0,True,True,False,True,False,False,False,False
122,21190,0.17849678767706478,831,170600,29165,0.25327658424537225,1061,253800,872.0,8847.0,False,True,False,True,0.004029765691721671,0.07880956226002914,False,True,False,True,26.0,256.0,False,True,False,False,6700.0,89900.0,False,True,False,False,False,False,True,False
123,24447,0.22068426064481023,931,147200,32520,0.25557640191786535,1142,202200,643.0,8716.0,False,True,False,False,-0.006256547646740052,0.02863559362631507,False,True,False,False,13.0,224.0,False,False,False,False,1100.0,56100.0,False,False,False,False,False,False,False,False
124,48232,0.3740558686008872,1068,253400,54055,0.3742462050322312,1338,347900,827.0,6650.0,False,True,False,False,0.017376982498887084,0.017567318930231113,True,False,True,False,45.0,315.0,True,True,False,True,6200.0,100700.0,False,True,False,False,False,False,False,False
125,51137,0.3721599671018814,1214,341300,57549,0.3966107972960459,1565,428000,-1045.0,5367.0,False,False,False,False,-0.008556831490906691,0.01589399870325786,False,False,False,False,-18.0,333.0,False,True,False,True,2600.0,89300.0,False,True,False,False,False,False,False,False
126,31223,0.23769730733519034,1147,168100,36821,0.22185135736537606,1390,222700,1185.0,6783.0,True,True,False,False,0.007409692387039285,-0.008436257582774997,True,False,False,False,43.0,286.0,True,True,False,False,300.0,54900.0,False,False,False,False,True,False,False,False
127,44578,0.3964757709251101,1214,248300,53584,0.4023670780701437,1396,322400,39.0,9045.0,False,True,False,True,-0.0016523488752226978,0.004238958269810911,False,False,False,False,36.0,218.0,False,False,False,False,10500.0,84600.0,False,True,False,False,False,False,False,False
128,34367,0.3354051699099622,996,277100,41574,0.35212266724871766,1178,389000,168.0,7375.0,False,True,False,False,0.024023638055989394,0.04074113539474483,True,True,True,False,84.0,266.0,True,True,True,False,17700.0,129600.0,True,True,False,True,False,False,True,False
129,46725,0.4075683031508427,1119,452500,52402,0.3943445748526717,1266,606000,933.0,6610.0,False,True,False,False,0.0011327130417831954,-0.012091015256387783,False,False,False,False,21.0,168.0,False,False,False,False,10200.0,163700.0,False,True,False,True,False,False,False,False
130,42294,0.33218125960061445,1328,325000,51640,0.3841308911894592,1759,406800,1163.0,10509.0,True,True,False,True,-0.012624747908772271,0.039324883680072475,False,True,False,False,28.0,459.0,False,True,False,True,-1900.0,79900.0,False,True,False,False,False,False,True,False
131,16711,0.1667398623920363,866,133400,25868,0.23624929603904637,1082,194000,233.0,9390.0,False,True,False,True,0.018076143876366246,0.08758557752337631,True,True,True,True,15.0,231.0,False,True,False,False,5900.0,66500.0,False,False,False,False,False,False,True,False
132,61215,0.4269066157892023,1325,666600,64608,0.4504581184599209,1519,851900,1149.0,4542.0,True,False,False,False,0.0036789892284165293,0.027230491899135123,False,True,False,False,100.0,294.0,True,True,True,False,32600.0,217900.0,True,True,True,True,False,False,False,False
133,31942,0.22897196261682243,1045,163000,36604,0.24843798329724714,1204,211000,-89.0,4573.0,False,False,False,False,-0.01525245982542181,0.004213560855002907,False,False,False,False,48.0,207.0,True,False,False,False,0.0,48000.0,False,False,False,False,False,False,False,False
134,65269,0.42870864461045893,1406,411100,63552,0.43698752228163995,1496,519100,381.0,-1336.0,False,False,False,False,-0.014581207257770123,-0.006302329586589106,False,False,False,False,-296.0,-206.0,False,False,False,False,21200.0,129200.0,True,True,False,True,False,False,False,False
135,23317,0.12407254740313273,1012,106000,26989,0.15836852270123408,1180,164300,1140.0,4812.0,True,False,False,False,0.010923519986989372,0.04521949528509073,True,True,False,False,30.0,198.0,False,False,False,False,-1200.0,57100.0,False,False,False,False,False,False,False,False
136,35653,0.29402934779278866,1198,205800,42997,0.3267607919506654,1396,272100,489.0,7833.0,False,True,False,False,-0.0023544017220256674,0.030377042435851043,False,True,False,False,17.0,215.0,False,False,False,False,13000.0,79300.0,False,True,False,False,False,False,True,False
137,45021,0.37306387372768846,1023,395600,54852,0.44846796657381616,1261,537700,1899.0,11730.0,True,True,False,True,0.01738503261195412,0.09278912545808182,True,True,True,True,91.0,329.0,True,True,True,True,18000.0,160100.0,True,True,False,True,True,False,True,True
138,46801,0.39560059887135784,1284,257400,55414,0.4147511997979288,1423,344700,2223.0,10836.0,True,True,True,True,-0.00087517205375226,0.01827542887281869,False,False,False,False,70.0,209.0,True,False,True,False,9100.0,96400.0,False,True,False,False,False,False,False,False
139,48171,0.3815289232029011,1103,273200,53841,0.37255002302850415,1382,369200,-61.0,5609.0,False,False,False,False,0.007473054602013918,-0.0015058455723830355,True,False,False,False,35.0,314.0,False,True,False,True,19800.0,115800.0,True,True,False,True,False,False,False,False
140,52148,0.3797808764940239,1579,350900,59910,0.4059158945117605,1875,454600,1011.0,8773.0,False,True,False,False,0.00762090939214255,0.03375592740987915,True,True,False,False,365.0,661.0,True,True,True,True,9600.0,113300.0,False,True,False,True,False,False,True,False
141,30980,0.2362894311708188,1180,169400,36843,0.24827201005375968,1459,235600,-243.0,5620.0,False,False,False,False,-0.0014078761643715465,0.010574702718569334,False,False,False,False,33.0,312.0,False,True,False,True,1300.0,67500.0,False,False,False,False,False,False,False,False
142,37900,0.35693012600229096,1020,302500,45331,0.3451079782459475,1213,416300,3533.0,10964.0,True,True,True,True,0.02152495609232874,0.009702808335985302,True,False,True,False,24.0,217.0,False,False,False,False,25400.0,139200.0,True,True,True,True,True,True,False,False
143,48679,0.4148252624980411,1150,476400,53128,0.3909229783669246,1297,636800,1954.0,6403.0,True,True,False,False,0.007256959347198388,-0.016645324783918114,True,False,False,False,31.0,178.0,False,False,False,False,23900.0,184300.0,True,True,False,True,True,False,False,False
