,Dem: Median Age,Dem: % <18,Dem: Pop,Div: % NH White,Div: % NH Black,Div: % NH Asian,Div: Max % One Race,Div: % Born in US,Comp: % Married,Hsg: % Paying >20% Income on Housing,Hsg: % Paying >30% Income on Housing,Hsg: % Paying >40% Income on Housing,Hsg: Median House Costs,Inc: Income >40K,Inc: PC Income,Inc: Gini Index,Mob: % Same House (1y),Mob: % From Out of State (1y),Occ: % in Labor Force,Occ: % in mgmt/bus/science/arts,Occ: % in serv/construct/prod,Trns: % w/ 3+ Vehicles,Trns: % Walk/Bike to Work,Trns: % Public Trans to Work,Hsg: % Owner Occupied,Unt: % w/ 50+,Y: % built pre-1970,Y: % built pre-1940,com_permit_per_cap,res_permit_per_cap,assault_crime_per_cap,criminal_activity_crime_per_cap,identity_theft_crime_per_cap,runaway_child_crime_per_cap,Dem: Pop Density
98,36.0,0.3425979765088964,17198,0.7031631585068031,0.007559018490522154,0.06634492382835214,0.7031631585068031,0.9165600651238516,0.757689110556941,0.6122448979591837,0.5877551020408164,0.12653061224489795,2224.0,0.9201733790861477,49116.0,0.361,0.890251813410391,0.020758388865955064,0.6966708807416772,1.1835749496835166,1.9776128110142053,0.2761635381846233,0.008099768578040628,0.0019285163281049112,0.9557522123893806,0.0,0.009073460129122317,0.0,0.0006396092568903361,0.06867077567158972,0.000814048145133155,0.006396092568903361,0.0009303407372950343,0.00046517036864751713,1055.3820454233119
99,33.6,0.30987654320987656,810,0.3111111111111111,0.04567901234567901,0.0,0.6345679012345679,0.7345679012345679,0.41114982578397213,0.717948717948718,0.5726495726495726,0.29914529914529914,718.0,0.3548387096774194,15485.0,0.5107,0.88671875,0.0234375,0.578397212543554,1.7985066666666667,2.6171022222222224,0.30434782608695654,0.021739130434782608,0.0,0.6225806451612903,0.03225806451612903,0.17096774193548386,0.04838709677419355,0.012345679012345678,0.028395061728395062,0.011111111111111112,0.03950617283950617,0.0,0.012345679012345678,98.03211639169541
100,20.9,0.02790742279905377,31282,0.6149862540758263,0.03976727830701362,0.14468384374400614,0.6149862540758263,0.8663448628604309,0.05110821382007823,0.8009642724687848,0.7317344541970577,0.6069971566324638,1114.0,0.2248281880658885,9791.0,0.6462,0.37424276419116,0.07493829930446488,0.43488614862660663,2.2667808219178083,2.791095890410959,0.28565052443650973,0.330971200145362,0.06504951394567093,0.11759572379186212,0.3017174082747853,0.35060499609679935,0.12978142076502733,0.028546768109455917,0.010261492231954479,0.005114762483217186,0.014609040342689086,0.00028770538968096666,3.196726552010741e-05,11678.95827199636
101,37.8,0.16934452938964784,39895,0.7085349041233238,0.027447048502318588,0.11492668254167189,0.7085349041233238,0.8591803484145883,0.46964510371865764,0.640960809102402,0.3860393715008127,0.16958641863825177,1143.0,0.7205268389662027,47979.0,0.4575,0.7566184480530996,0.046614141311782736,0.7679685421163114,1.3864817270691567,1.828749701067461,0.1760795953346432,0.022891515936338192,0.028071348009524207,0.4496023856858847,0.09976201808662542,0.05111851499286054,0.00038077106139933366,0.027597443288632662,0.04170948740443665,0.004110790825918035,0.01727033462839955,0.001228224088231608,0.0003509211680661737,2513.540836787971
102,31.0,0.20636979391843205,20817,0.44641398856703657,0.1629437478983523,0.08742854397847913,0.44641398856703657,0.8297545275495989,0.4074351585014409,0.7365088935785348,0.4531202894181489,0.19369912571600845,1013.0,0.6072513884522687,29156.0,0.4015,0.6751819469545255,0.0622771455087188,0.7797490516486723,1.4224417743864244,2.229001765275326,0.1310730797307162,0.01151662611516626,0.011435523114355231,0.3048307660064969,0.09484697369707637,0.020436100518236043,0.0,0.0034587116299178555,0.009847720612960562,0.0002882259691598213,0.00014411298457991066,0.0,0.0,1997.3226960848874
103,45.6,0.18290650098499772,6599,0.7572359448401272,0.005000757690559176,0.06470677375359903,0.7572359448401272,0.8931656311562358,0.6354073809948297,0.64375,0.346875,0.178125,1471.0,0.8326590658330268,40537.0,0.3585,0.9377859103385179,0.003964623360780726,0.68,1.1838930334491842,1.932216146813362,0.3038049940546968,0.0,0.022889417360285373,0.8823096726737771,0.024916943521594685,0.05946843853820598,0.004651162790697674,0.005152295802394302,0.03151992726170632,0.0012123048946810122,0.008183058039096833,0.00030307622367025305,0.0015153811183512653,224.1301806023476
104,38.9,0.22393750925514586,27012,0.6852139789723086,0.03357766918406634,0.11420849992595883,0.6852139789723086,0.857100547904635,0.5728264284752458,0.7205142537730576,0.3960313024035774,0.18166573504751257,1391.0,0.7681294161398289,42397.0,0.4375,0.8347393793311239,0.02455558903284122,0.7126505196648505,1.3778835891962893,1.8539939249651096,0.273365634435784,0.026119926976548236,0.00968965033000983,0.667348456675344,0.03928449161246149,0.020883259157822662,0.003423485107839781,0.009218125277654376,0.04320302087960906,0.002702502591440841,0.014919295128091219,0.0013697615874426181,0.0005553087516659262,1467.7992730015199
105,29.8,0.2804609484755287,52674,0.21021756464289781,0.12195770209211376,0.05983976914606827,0.5910695979040893,0.6270835706420625,0.4116860846320674,0.8002408809359945,0.52856159669649,0.28854094975911904,910.0,0.4853507450192533,18115.0,0.4158,0.7854698706671565,0.020685522067778916,0.7590746421267893,2.03575727852334,2.61389272816443,0.20831775001869998,0.013724243670767735,0.05059646236116824,0.35130308610971595,0.07121809918593618,0.13274734055835788,0.007741097737601758,0.015605422029843946,0.01757983065649087,0.012928579564870714,0.0440065307362266,0.001442837073318905,0.0029426282416372402,3688.2075302963367
106,30.5,0.33924454690547967,16917,0.24395578412248034,0.21847845362652954,0.017556304309274694,0.5089554885618017,0.8297570491221847,0.5813972993374151,0.7360285374554102,0.5362663495838288,0.1985731272294887,1391.0,0.7174698795180723,21044.0,0.356,0.873591612942098,0.008796770500692896,0.73029832729781,1.4582680486922983,2.415421236591539,0.3540856031128405,0.007644849785407725,0.004157725321888412,0.8311244979919679,0.0,0.07616186605407316,0.02014490192613536,0.001714251935922445,0.0003546728143287817,0.00029556067860731807,0.0009457941715434178,0.00017733640716439085,5.9112135721463615e-05,113.60009984354143
107,33.6,0.202185386159221,26906,0.591615253103397,0.09076042518397383,0.09462573403701777,0.591615253103397,0.8684679997026685,0.41273394824035103,0.7255366395262768,0.4374537379718727,0.1702442635085122,1160.0,0.6756370364140947,34237.0,0.4042,0.7372684317107928,0.049801245031125776,0.8103910259321495,1.4094089700224637,2.309483849311885,0.23142442914099312,0.01491996375717306,0.015886439142253097,0.43192330333865947,0.08626830233478433,0.020894341115947766,0.001187178472497032,0.011075596521222033,0.013082583810302535,0.004162640303278079,0.015498401843454992,0.0008176614881439084,0.0007804950568646398,2060.167450753566
108,36.1,0.3218785796105384,1746,0.3064146620847652,0.030355097365406643,0.0,0.6632302405498282,0.8533791523482245,0.5063009636767977,0.38,0.22,0.16,745.0,0.3621495327102804,19582.0,0.4861,0.8470790378006873,0.013172966781214204,0.619349722442506,1.5684937946596464,2.614234674689733,0.39209726443769,0.004559270516717325,0.0,0.7663551401869159,0.0,0.18896321070234115,0.030100334448160536,0.053837342497136315,0.004581901489117984,0.006300114547537228,0.026345933562428408,0.0,0.0,63.21233451478516
109,30.9,0.2719472369853365,31234,0.2917333674841519,0.23403982839213677,0.018569507587884997,0.43859255939040787,0.766376384708971,0.38351602023608766,0.7850137909898867,0.5399938706711616,0.27750536316273366,923.0,0.5327790768164892,22439.0,0.464,0.7490318591558462,0.0273357414819877,0.7104926696215479,1.8332526531372184,2.327052690374232,0.2230665770006725,0.028604042167461225,0.051366413751426844,0.43483155798042783,0.10410019144862795,0.4298021697511168,0.007498404594767071,0.024396491003393736,0.05321124415700839,0.017705064993276558,0.055420375232118846,0.0018249343663955945,0.007395786642761094,3311.1644287463996
110,26.8,0.3477673161182064,21454,0.08310804511979118,0.26731611820639506,0.00536030577048569,0.6328423603989932,0.7321245455392934,0.3673252178540544,0.8410757946210269,0.6903015484922576,0.40464547677261614,1023.0,0.47069240304586507,13452.0,0.4179,0.7598436457240919,0.02683763943178568,0.6578839310156036,2.0637382339757955,2.7617212012550425,0.27493694106856226,0.0033234013293605316,0.025212010084804035,0.5654329732601381,0.0024295432458697765,0.06511175898931001,0.0,0.0034492402349212267,0.03728908362077002,0.008902768714458843,0.026521860725272677,0.0012585065722009881,0.00461452409807029,676.7497886959657
111,32.7,0.18628995553688338,28563,0.5720687602842839,0.06900535658019116,0.1548506809508805,0.5720687602842839,0.8112243111717957,0.4419646561022152,0.6439111641079147,0.38187509315844387,0.13668206886272172,1229.0,0.7502633498095779,34953.0,0.3644,0.7358012351408275,0.06468425373933531,0.7768108630764703,1.310907487259898,2.3026019208153667,0.1816545718432511,0.01026324944914763,0.00800185550272527,0.45636496232071955,0.06886842706034549,0.036070314283540066,0.001598051898637851,0.016559885166124007,0.027413086860623884,0.003676084444911249,0.019955886986661064,0.0007352168889822498,0.0013303924657774044,2505.0342027997194
112,27.8,0.3267605633802817,44375,0.14898028169014085,0.07308169014084508,0.004191549295774648,0.760743661971831,0.7195718309859155,0.41180340193590825,0.7920372723422279,0.5273189326556544,0.2870252717774954,983.0,0.5360943121794381,16335.0,0.3995,0.8064397339409423,0.0217036065271928,0.730766781301745,1.7087473877255086,2.77293470380006,0.2856515158912269,0.019278637317585046,0.04089999511933232,0.45778152032458086,0.02466047176554682,0.07197998570407434,0.004360257326661902,0.01243943661971831,0.03177464788732395,0.011222535211267606,0.04324507042253521,0.001171830985915493,0.00428169014084507,1450.2173382136991
