Permit Class,HousingUnits,Original Zip
C- 101 Single Family Houses,1,78736
C- 104 Three & Four Family Bldgs,30,78736
C- 105 Five or More Family Bldgs,1263,78736
R- 101 Single Family Houses,223,78736
R- 103 Two Family Bldgs,8,78736
R- 101 Single Family Houses,3,78737
C- 101 Single Family Houses,1,78739
C- 105 Five or More Family Bldgs,151,78739
R- 101 Single Family Houses,2330,78739
R- 102 Secondary Apartment,1,78739
C- 101 Single Family Houses,197,78741
C- 103 Two Family Bldgs,12,78741
C- 104 Three & Four Family Bldgs,495,78741
C- 105 Five or More Family Bldgs,6665,78741
C- 106 Mixed Use,510,78741
R- 101 Single Family Houses,1238,78741
R- 102 Secondary Apartment,92,78741
R- 103 Two Family Bldgs,70,78741
R- 101 Single Family Houses,12,78742
R- 102 Secondary Apartment,3,78742
C- 101 Single Family Houses,7,78744
C- 105 Five or More Family Bldgs,3012,78744
R- 101 Single Family Houses,3716,78744
R- 102 Secondary Apartment,4,78744
R- 103 Two Family Bldgs,43,78744
C- 101 Single Family Houses,389,78745
C- 103 Two Family Bldgs,4,78745
C- 104 Three & Four Family Bldgs,123,78745
C- 105 Five or More Family Bldgs,5142,78745
C- 106 Mixed Use,70,78745
R- 101 Single Family Houses,1106,78745
R- 102 Secondary Apartment,150,78745
R- 103 Two Family Bldgs,286,78745
C- 101 Single Family Houses,50,78746
C- 104 Three & Four Family Bldgs,18,78746
C- 105 Five or More Family Bldgs,356,78746
C- 106 Mixed Use,3,78746
R- 101 Single Family Houses,355,78746
R- 102 Secondary Apartment,5,78746
R- 103 Two Family Bldgs,36,78746
C- 104 Three & Four Family Bldgs,32,78747
C- 105 Five or More Family Bldgs,1867,78747
R- 101 Single Family Houses,3433,78747
R- 102 Secondary Apartment,1,78747
R- 103 Two Family Bldgs,168,78747
C- 101 Single Family Houses,572,78748
C- 103 Two Family Bldgs,38,78748
C- 104 Three & Four Family Bldgs,309,78748
C- 105 Five or More Family Bldgs,5963,78748
C- 106 Mixed Use,2,78748
R- 101 Single Family Houses,3716,78748
R- 102 Secondary Apartment,2,78748
R- 103 Two Family Bldgs,102,78748
C- 104 Three & Four Family Bldgs,6,78749
C- 105 Five or More Family Bldgs,1391,78749
R- 101 Single Family Houses,134,78749
R- 102 Secondary Apartment,2,78749
R- 103 Two Family Bldgs,26,78749
C- 101 Single Family Houses,142,78750
C- 103 Two Family Bldgs,194,78750
C- 104 Three & Four Family Bldgs,8,78750
C- 105 Five or More Family Bldgs,635,78750
R- 101 Single Family Houses,137,78750
R- 102 Secondary Apartment,1,78750
R- 103 Two Family Bldgs,76,78750
C- 104 Three & Four Family Bldgs,4,78751
C- 105 Five or More Family Bldgs,1521,78751
C- 106 Mixed Use,72,78751
R- 101 Single Family Houses,255,78751
R- 102 Secondary Apartment,173,78751
R- 103 Two Family Bldgs,164,78751
C- 103 Two Family Bldgs,4,78752
C- 104 Three & Four Family Bldgs,8,78752
