Year Month,Postal Code,Customer Class,Total Gallons
201202,78705,Commercial,26091900
201202,78705,Irrigation - City of Austin,400
201202,78705,Irrigation - Commercial,1022500
201202,78705,Large Volume,2720000
201202,78710,Commercial,33800
201202,78710,Irrigation - Commercial,1400
201202,78712,Commercial,5889500
201202,78712,Irrigation - Commercial,2959000
201202,78712,Irrigation - Large Volume,14795400
201202,78712,Large Volume,8954400
201202,78714,Commercial,239900
201202,78714,Irrigation - Commercial,80000
201202,78717,City of Austin,0
201202,78717,Commercial,3761700
201202,78717,Irrigation - City of Austin,0
201202,78717,Irrigation - Commercial,2625300
201202,78719,Austin Water Utility,419500
201202,78719,City of Austin,2548100
201202,78719,Commercial,3008300
201202,78719,Irrigation - City of Austin,161300
201202,78719,Irrigation - Commercial,318200
201202,78719,Wholesale,1344300
201202,78721,Austin Water Utility,6100
201202,78721,City of Austin,112500
201202,78721,Commercial,5818100
201202,78721,Irrigation - City of Austin,17700
201202,78721,Irrigation - Commercial,190100
201202,78722,City of Austin,40400
201202,78722,Commercial,4292100
201202,78722,Irrigation - City of Austin,910400
201202,78722,Irrigation - Commercial,317900
201202,78723,Austin Water Utility,0
201202,78723,City of Austin,3641000
201202,78723,Commercial,12475600
201202,78723,Irrigation - City of Austin,0
201202,78723,Irrigation - Commercial,2847800
201202,78724,Austin Water Utility,407000
201202,78724,City of Austin,4791900
201202,78724,Commercial,3666100
201202,78724,Irrigation - City of Austin,0
201202,78724,Irrigation - Commercial,1821300
201202,78725,Austin Water Utility,361700
201202,78725,City of Austin,26000
201202,78725,Commercial,5325700
201202,78725,Irrigation - Commercial,65100
201202,78725,Large Volume,28345500
201202,78725,Wholesale,482600
201202,78726,Austin Water Utility,0
201202,78726,City of Austin,270000
201202,78726,Commercial,5068200
201202,78726,Irrigation - Commercial,1745600
201202,78727,City of Austin,26400
201202,78727,Commercial,12927900
201202,78727,Irrigation - City of Austin,0
201202,78727,Irrigation - Commercial,2577400
201202,78728,Commercial,2936500
201202,78728,Irrigation - Commercial,1280100
201202,78728,Large Volume,15303000
201202,78728,Wholesale,31001800
201202,78729,City of Austin,12000
201202,78729,Commercial,8081300
201202,78729,Irrigation - City of Austin,0
201202,78729,Irrigation - Commercial,1970200
201202,78729,Wholesale,21908000
201202,78730,Commercial,1874300
201202,78730,Irrigation - Commercial,1499800
201202,78731,Austin Water Utility,0
201202,78731,City of Austin,77800
201202,78731,Commercial,12482300
201202,78731,Irrigation - City of Austin,8800
201202,78731,Irrigation - Commercial,1733900
201202,78732,Commercial,723200
201202,78732,Irrigation - Commercial,5900
201202,78735,Austin Water Utility,0
201202,78735,City of Austin,257000
201202,78735,Commercial,7088500
201202,78735,Irrigation - Commercial,2426200
201202,78735,Large Volume,16374000
201202,78735,Wholesale,382900
201202,78736,Commercial,1218900
201202,78736,Irrigation - Commercial,197400
201202,78737,Commercial,301100
201202,78737,Irrigation - Commercial,136000
201202,78737,Wholesale,413000
201202,78739,City of Austin,8000
201202,78739,Commercial,1677400
201202,78739,Irrigation - City of Austin,0
201202,78739,Irrigation - Commercial,1067800
201202,78739,Wholesale,9507000
201202,78741,Austin Water Utility,0
201202,78741,City of Austin,215800
201202,78741,Commercial,16294200
201202,78741,Irrigation - City of Austin,1297800
201202,78741,Irrigation - Commercial,2148100
201202,78741,Large Volume,35668700
201202,78742,Commercial,350700
201202,78742,Irrigation - Commercial,29100
201202,78744,Austin Water Utility,692900
201202,78744,City of Austin,839700
201202,78744,Commercial,21512800
201202,78744,Irrigation - City of Austin,785500
201202,78744,Irrigation - Commercial,2511100
201202,78745,City of Austin,222500
201202,78745,Commercial,27406700
201202,78745,Irrigation - City of Austin,0
201202,78745,Irrigation - Commercial,3012000
201202,78745,Wholesale,5729800
201202,78746,City of Austin,1136900
201202,78746,Commercial,9368600
201202,78746,Irrigation - City of Austin,358800
201202,78746,Irrigation - Commercial,1351000
201202,78746,Wholesale,63872800
201202,78747,Austin Water Utility,1215500
201202,78747,Commercial,791600
201202,78747,Irrigation - Commercial,538900
201202,78747,Wholesale,3966600
201202,78748,City of Austin,50500
201202,78748,Commercial,10031600
201202,78748,Irrigation - City of Austin,25900
201202,78748,Irrigation - Commercial,3080200
201202,78748,Wholesale,487000
201202,78749,Austin Water Utility,0
201202,78749,City of Austin,36500
201202,78749,Commercial,8354600
201202,78749,Irrigation - City of Austin,27400
201202,78749,Irrigation - Commercial,4610800
