Permit Class,Original Zip,ProjectID
R- 645 Demolition One Family Homes,78744,599
R- 645 Demolition One Family Homes,78745,282
R- 645 Demolition One Family Homes,78746,152
R- 645 Demolition One Family Homes,78747,116
R- 645 Demolition One Family Homes,78748,17
R- 645 Demolition One Family Homes,78749,11
R- 645 Demolition One Family Homes,78750,19
R- 645 Demolition One Family Homes,78751,293
R- 645 Demolition One Family Homes,78752,128
R- 645 Demolition One Family Homes,78753,41
R- 645 Demolition One Family Homes,78754,6
R- 645 Demolition One Family Homes,78756,250
R- 645 Demolition One Family Homes,78757,475
R- 645 Demolition One Family Homes,78758,11
R- 645 Demolition One Family Homes,78759,41
R- 645 Demolition One Family Homes,,1
R- 646 Demolition Two Family Bldgs,78701,3
R- 646 Demolition Two Family Bldgs,78702,31
R- 646 Demolition Two Family Bldgs,78703,40
R- 646 Demolition Two Family Bldgs,78704,57
R- 646 Demolition Two Family Bldgs,78705,28
R- 646 Demolition Two Family Bldgs,78721,9
R- 646 Demolition Two Family Bldgs,78723,11
R- 646 Demolition Two Family Bldgs,78724,2
R- 646 Demolition Two Family Bldgs,78729,1
R- 646 Demolition Two Family Bldgs,78731,12
R- 646 Demolition Two Family Bldgs,78741,8
R- 646 Demolition Two Family Bldgs,78742,2
R- 646 Demolition Two Family Bldgs,78744,14
R- 646 Demolition Two Family Bldgs,78745,7
R- 646 Demolition Two Family Bldgs,78746,2
R- 646 Demolition Two Family Bldgs,78749,1
R- 646 Demolition Two Family Bldgs,78751,22
R- 646 Demolition Two Family Bldgs,78752,8
R- 646 Demolition Two Family Bldgs,78753,3
R- 646 Demolition Two Family Bldgs,78756,10
R- 646 Demolition Two Family Bldgs,78757,10
R- 646 Demolition Two Family Bldgs,78758,3
R- 649 Demolition All Other Bldgs Res,78613,1
R- 649 Demolition All Other Bldgs Res,78617,3
R- 649 Demolition All Other Bldgs Res,78653,1
R- 649 Demolition All Other Bldgs Res,78660,1
R- 649 Demolition All Other Bldgs Res,78701,14
R- 649 Demolition All Other Bldgs Res,78702,292
R- 649 Demolition All Other Bldgs Res,78703,396
R- 649 Demolition All Other Bldgs Res,78704,470
R- 649 Demolition All Other Bldgs Res,78705,90
R- 649 Demolition All Other Bldgs Res,78719,2
R- 649 Demolition All Other Bldgs Res,78721,52
R- 649 Demolition All Other Bldgs Res,78722,66
R- 649 Demolition All Other Bldgs Res,78723,42
R- 649 Demolition All Other Bldgs Res,78724,14
R- 649 Demolition All Other Bldgs Res,78726,1
R- 649 Demolition All Other Bldgs Res,78727,24
R- 649 Demolition All Other Bldgs Res,78730,14
R- 649 Demolition All Other Bldgs Res,78731,113
R- 649 Demolition All Other Bldgs Res,78732,8
R- 649 Demolition All Other Bldgs Res,78733,17
R- 649 Demolition All Other Bldgs Res,78734,10
R- 649 Demolition All Other Bldgs Res,78735,8
R- 649 Demolition All Other Bldgs Res,78736,5
R- 649 Demolition All Other Bldgs Res,78739,2
R- 649 Demolition All Other Bldgs Res,78741,52
R- 649 Demolition All Other Bldgs Res,78742,2
R- 649 Demolition All Other Bldgs Res,78744,46
R- 649 Demolition All Other Bldgs Res,78745,121
R- 649 Demolition All Other Bldgs Res,78746,120
R- 649 Demolition All Other Bldgs Res,78748,21
R- 649 Demolition All Other Bldgs Res,78749,23
R- 649 Demolition All Other Bldgs Res,78750,16
R- 649 Demolition All Other Bldgs Res,78751,240
R- 649 Demolition All Other Bldgs Res,78752,46
R- 649 Demolition All Other Bldgs Res,78753,22
R- 649 Demolition All Other Bldgs Res,78756,146
R- 649 Demolition All Other Bldgs Res,78757,258
R- 649 Demolition All Other Bldgs Res,78758,27
R- 649 Demolition All Other Bldgs Res,78759,27
